Signatur;Autor:in Nachname;Autor:in Vorname;Titel;Jahr der Veröffentlichung;Schlagwort;Klappentext;ISBN;Sprache
Ruud;Ruud;Even;Meta-Musiktherapie. Wege zu einer Theorie der Musiktherapie;1992;Theorie;"Dieser Band beschreibt ein in (Meter-)theoretisches oh System der Musiktherapie auf der Grundlage der verschiedenen Denkmodelle von Medizin, Psychoanalyse, Lerntheorie und Humanistischer Psychologie. Der größte Teil der bekannten Musiktherapie – Methoden wird in dieses System integriert. Die Autoren stellen die theoretischen Grundlagen gut nachvollziehbar da. Auf Basis der theoretischen Grundlagen werden auch spezielle Aspekte dieser noch jungen Therapiedisziplin beleuchtet, wie etwa Improvisation und Interaktion sowie Fragen nach ihrer gesellschaftlichen und kulturellen Bedeutung. Für alle, die sich in Praxis, Forschung und Ausbildung mit Musiktherapie befassen, bildet ""Meta-Musiktherapie"" eine wichtige Informationsquelle und Orientierungshilfe.   ";0177-8447;Deutsch
Seidel01;Seidel;Almut;Verschmerzen. Musiktherapie mit krebskranken Frauenn und Männern im Spannungsfeld von kurzatmiger und paliliativer Behandlung;2005;Musiktherapie mit Krebskranken, Gender;Verschmerzen ist die Dokumentation eines Musik therapeutisch onkologischen Forschungsprojekt im Spannungsfeld von Curativa und Palliative Arbeit mit Krebspatienten beiderlei Geschlechts. Sie wird hier in ihren weitreichenden institutionellen konzeptionellen methodischen und personalen Implikationen diskutiert neben dieser grundlegenden Darstellung des Arbeitsfeldes gibt es zwei weitere Fokussierung in: einerseits wird das Verhältnis Sprache – Musik – machen MusikTherapieprozess als jeweils integrierenden oder polarisierenden Heilfaktor ausgeleuchtet und andererseits der Frage einer geschlechtsspezifischen Rezeption des Musiktherapie Angebotes nachgegangen. Ihr Mittelpunkt des Forschungsinteresses stehen demgemäß Substanz und Qualität, Kontext Bedingungen und konzeptionelle Bestandteile von Musiktherapie in der Psychoonkologie unter besonderer Berücksichtigung des Janda Aspekt des Forschungsdesigns fokussiert auf der einen Seite - hier unter Canon Minologisch – hermeneutischen Aspekten – die entstehenden musikalischen Produktionen und auf der anderen Seite – jetzt mithilfe der sequenzielle Text Analyse – die begleitenden verbalen Interaktion im Prozess ausgewählter Therapiesitzungen. Flankierend wird ein qualitatives Verfahren zur Befindlichkeitsmessung hinzugezogen.;3-89500-457-X;Deutsch
Seidel01a;Seidel;Almut;Verschmerzen. Musiktherapie mit krebskranken Frauenn und Männern im Spannungsfeld von kurzatmiger und paliliativer Behandlung;2005;Musiktherapie mit Krebskranken, Gender;Verschmerzen ist die Dokumentation eines Musik therapeutisch onkologischen Forschungsprojekt im Spannungsfeld von Curativa und Palliative Arbeit mit Krebspatienten beiderlei Geschlechts. Sie wird hier in ihren weitreichenden institutionellen konzeptionellen methodischen und personalen Implikationen diskutiert neben dieser grundlegenden Darstellung des Arbeitsfeldes gibt es zwei weitere Fokussierung in: einerseits wird das Verhältnis Sprache – Musik – machen MusikTherapieprozess als jeweils integrierenden oder polarisierenden Heilfaktor ausgeleuchtet und andererseits der Frage einer geschlechtsspezifischen Rezeption des Musiktherapie Angebotes nachgegangen. Ihr Mittelpunkt des Forschungsinteresses stehen demgemäß Substanz und Qualität, Kontext Bedingungen und konzeptionelle Bestandteile von Musiktherapie in der Psychoonkologie unter besonderer Berücksichtigung des Janda Aspekt des Forschungsdesigns fokussiert auf der einen Seite - hier unter Canon Minologisch – hermeneutischen Aspekten – die entstehenden musikalischen Produktionen und auf der anderen Seite – jetzt mithilfe der sequenzielle Text Analyse – die begleitenden verbalen Interaktion im Prozess ausgewählter Therapiesitzungen. Flankierend wird ein qualitatives Verfahren zur Befindlichkeitsmessung hinzugezogen.;3-89500-457-X;Deutsch
Sigrun Krausse01;Sigrun Krausse;Elisabeth;Musik- und Hörtherapie bei Tinnitus und Hyperakusis;2012;Tinnitus und Hyperakusis;"Tinnitus ist ein Symptom gestörter Hörwahrnehmung, welches in den westlichen Industrienationen immer häufiger zu beobachten ist.
8 Prozent der Deutschen und der Schweizer kennen Tinnitus aus eigener Erfahrung; 4 Prozent haben chronisch Ohrgeräusche. In 40 Prozent der Fälle von chronischem Tinnitus liegt auch eine Hyperakusis vor. Die Ursache von Tinnitus ist in 90 Prozent eine Schwerhörigkeit - vorwiegend eine Schallempfindungsschwerhörigkeit, während die Hyperakusis immer psychisch bedingt ist.
In der Schweiz konnte erstmals 2006 für die schwergradig von Tinnitus und Hyperakusis Betroffenen mit der Gründung der Tinnitusklinik Chur ein stationäres Therapieangebot geschaffen werden, welches neben verhaltenstherapeutischen Ansätzen als wesentlichen Baustein die Musik- und Hörtherapie umfasst. 
Ziel dieses Buches ist es, die Pathogenese, die aktuellen Forschung, Diagnostik und Therapie von Tinnitus und Hyperakusis darzustellen, speziell einen Überblick über die Bestandteile musik- und hörtherapeutischer Behandlung an der Schnittstelle von Musikmedizin und Psychotherapie zu geben. 
Das vorliegende Buch ist in gleichem Maße für von Tinnitus und Hyperakusis Betroffene wie für Therapeuten - Musik- und Hörtherapeuten, Ärzte und Psychologen - interessant.";978-3-89500-888-7;Deutsch
Sigrun Krausse01a;Sigrun Krausse;Elisabeth;Musik- und Hörtherapie bei Tinnitus und Hyperakusis;2012;Tinnitus und Hyperakusis;"Tinnitus ist ein Symptom gestörter Hörwahrnehmung, welches in den westlichen Industrienationen immer häufiger zu beobachten ist.
8 Prozent der Deutschen und der Schweizer kennen Tinnitus aus eigener Erfahrung; 4 Prozent haben chronisch Ohrgeräusche. In 40 Prozent der Fälle von chronischem Tinnitus liegt auch eine Hyperakusis vor. Die Ursache von Tinnitus ist in 90 Prozent eine Schwerhörigkeit - vorwiegend eine Schallempfindungsschwerhörigkeit, während die Hyperakusis immer psychisch bedingt ist.
In der Schweiz konnte erstmals 2006 für die schwergradig von Tinnitus und Hyperakusis Betroffenen mit der Gründung der Tinnitusklinik Chur ein stationäres Therapieangebot geschaffen werden, welches neben verhaltenstherapeutischen Ansätzen als wesentlichen Baustein die Musik- und Hörtherapie umfasst. 
Ziel dieses Buches ist es, die Pathogenese, die aktuellen Forschung, Diagnostik und Therapie von Tinnitus und Hyperakusis darzustellen, speziell einen Überblick über die Bestandteile musik- und hörtherapeutischer Behandlung an der Schnittstelle von Musikmedizin und Psychotherapie zu geben. 
Das vorliegende Buch ist in gleichem Maße für von Tinnitus und Hyperakusis Betroffene wie für Therapeuten - Musik- und Hörtherapeuten, Ärzte und Psychologen - interessant.";978-3-89500-888-7;Deutsch
Sigrun Krausse01b;Sigrun Krausse;Elisabeth;Musik- und Hörtherapie bei Tinnitus und Hyperakusis;2012;Tinnitus und Hyperakusis;"Tinnitus ist ein Symptom gestörter Hörwahrnehmung, welches in den westlichen Industrienationen immer häufiger zu beobachten ist.
8 Prozent der Deutschen und der Schweizer kennen Tinnitus aus eigener Erfahrung; 4 Prozent haben chronisch Ohrgeräusche. In 40 Prozent der Fälle von chronischem Tinnitus liegt auch eine Hyperakusis vor. Die Ursache von Tinnitus ist in 90 Prozent eine Schwerhörigkeit - vorwiegend eine Schallempfindungsschwerhörigkeit, während die Hyperakusis immer psychisch bedingt ist.
In der Schweiz konnte erstmals 2006 für die schwergradig von Tinnitus und Hyperakusis Betroffenen mit der Gründung der Tinnitusklinik Chur ein stationäres Therapieangebot geschaffen werden, welches neben verhaltenstherapeutischen Ansätzen als wesentlichen Baustein die Musik- und Hörtherapie umfasst. 
Ziel dieses Buches ist es, die Pathogenese, die aktuellen Forschung, Diagnostik und Therapie von Tinnitus und Hyperakusis darzustellen, speziell einen Überblick über die Bestandteile musik- und hörtherapeutischer Behandlung an der Schnittstelle von Musikmedizin und Psychotherapie zu geben. 
Das vorliegende Buch ist in gleichem Maße für von Tinnitus und Hyperakusis Betroffene wie für Therapeuten - Musik- und Hörtherapeuten, Ärzte und Psychologen - interessant.";978-3-89500-888-7;Deutsch
Schaller;Schaller, Schemmel;Johannes;Ressourcen...Ein Hand- und Lesebuch zur psychotherapeutischen Arbeit;2013;Ressourcenorientiertes therapeutisches Vorgehen;Ressourcen ... dieser Begriff hat sich im psychosozialen Kontext zu dem Zauberwort entwickelt. Was verbirgt sich hinter der Vokabel, was versteht man unter ressourcenorientiertem oder -aktivierendem therapeutischen Vorgehen? Dieses Buch bietet eine Übersicht über den aktuellen Diskussions- und Forschungsstand zum Schlag- und Modewort Ressourcen. Von den theoretischen Perspektiven ausgehend wurde der Schwerpunkt des Handbuches darauf gelegt, praktisches Handwerkszeug für eine ressourcenaktivierende Arbeit mit KlientInnen zur Verfügung zu stellen. Insgesamt 40 Beiträge bieten eine therapieschulenübergreifende Vielfalt an theoretischen und praktischen Anregungen sowie Einblicke aus der praktischen Arbeit angefangen von der ressourcenorientierten Gesprächsführung bis hin zu den verhaltenstherapeutischen Ansätzen oder Beiträgen zur Selbstfürsorge. Dieses in der zweiten Auflage stark erweiterte Werk, in dem eine Vielzahl verschiedenster und renommierter AutorInnen zu Wort kommt, ist damit das Standardbuch für alle, die sich mit dem Thema Ressourcen auseinandersetzen, sei es aus theoretischem Interesse oder für eine kritische Reflexion der eigenen psychosozialen Praxis.;38 71592412;Deutsch
Schäfer;Schäfer;Magdalene Julia;Musiktherapie als Heilpädagogik bei verhaltensauffälligen Kindern;1985;Heilpädagogik, Kinder, Jugendliche, verhaltensauffälligkeit;Aus der Praxis für die Praxis: im ersten Band dieser von Heilpädagogen und Psychotherapeuten Professor Doktor Aloys Leber herausgegeben in Reihe lässt die Verfasserin den Leser an dem Abenteuer angehen der Heilpädagogen mit verhaltensauffälligen, im Lernen behinderten Kindern einer sozialen Randgruppe teilnehmen. Aus einem kurzen Rückblick auf die Geschichte der Musiktherapie entwickelt sie ihre eigenen, an der Schreiblauer‘schen Rhythmik wie an der Psychoanalyse orientierten Ansatz. Sie gibt einen Einblick in die desolaten Verhältnisse der Bewohner einer Not Unterkunft und schildert dann ihre Erfahrungen in zwei Musikgruppen mit Kindern aus diesem Getto.;3893340939;Deutsch
Schemmel;Schemmel;Heike;Ressourcen...;;;;;Deutsch
Schmidt;Schmidt, Stegemann, Spitzer;Hans Ulrich;Musiktherapie bei psychischen und psychosomatischen Störungen;2019;Psychische Störung, Psychosomatische Störung, Handlungsmöglichkeiten;"Das Buch informiert Sie über die zahlreichen Einsatzmöglichkeiten der Musiktherapie zur Behandlung psychischer und psychosomatischer Störungen.

Neben der Darstellung verschiedener Störungsbilder bei Kindern, Jugendlichen und Erwachsenen und deren Besonderheiten, stellt das Buch praktische Aspekte der Behandlung und aktuelle Forschungsergebnisse aus Medizin und Musiktherapie vor.

Sie erfahren, wie Musiktherapie den Heilungsprozess unterstützen kann und wie Ärzte und Musiktherapeuten zusammenarbeiten können, um bestmögliche Behandlungsergebnisse zu erzielen.";978-3-437-21113-3;Deutsch
Schroeder;Schroeder;Wolfgang C.;Musik. Spiegel der Seele. Eine Einführung in die Musiktherapie;1995;Einführung Musiktherapie;Vor dem Hintergrund verschiedener psychotherapeutischer Schulen entwickelt der Autor sein integratives Musiktherapiekonzept und erweitert es durch Theorie und Prais verschiedener humanistischer Verfahren (Gestalttherapie, Psychodrama, Psychosynthese, Themenzentrierte Interaktion, Katathymes Bilderleben) (...);9 783873870697;Deutsch
Schubert;Schubert;Gertrud;Klänge und Farben ;1982;Klänge, Farben, Wirkung;"Praxis der Musiktherapie, 2. - Hrsg. v. Volker Bolay & Volker Bernius. - Stuttgart, Gustav Fischer Verlag; Kassel, Bärenreiter Verlag, 1982, 120 pp., 45 Farbabbildungen, orig. kart. Einband. In dem zweiten Band der Reihe Praxis der Musiktherapie"" werden Arbeitsformen mit erwachsenen Psychiatrie-Patienten aufgezeigt., die durch ihre Vielfalt und Kreativität faszinieren.""";3-3437-10776-3;Deutsch
Schumann;Schumann;Claudia;Musiktherapie und Psychoanalyse;1982;Psychoanalyse;"Im Mittelpunkt dieses Buches steht ein aktuelles Konzeot der heutigen Musiktherapie, die ""analytische Musiktherapie"". Es werden Verbindungen aufgezeigt zwischen Psychoanalyse, Musik und Musiktherapie, Methoden der Systematisierung erprobt und Kriterien für kritische Stellungnahmen geliefert. Rund 70 Jahre nach den Arbeiten des Freud-Schülers Max Graf weist die Verfasserin abermals als Musikerin eine grundlegende Kenntnis der Freudschen Gedankengänge und Methoden nach, trägt zusammen, was sich als musikrelevant erweist, vergleicht es mit der Arbeitsweise der englischen Musiktherapeutin Mary Priestley ( deren englischsprachige Schriften die Verfasserin auszugsweise ins Deutsche übersetzt hat), ergänzt es durch eigene Erfahrungen und Fallbeispiele, erweitert die Konzeption Priestleys und systematisiert das Meld der Musiktherapie. Dies ist das erste Buch, das in der Bundesrepublik über ""analytische Musiktherapie"" geschrieben worden ist. Es wird sicherlich seine Supren in nachfolgenden Publikationen hinterlassen. Mit der vorliegenden Arbeit promovierte die Autorin 1980/81 an der Univbersität Duisburg.";3-9800666-0-6;Deutsch
Schwabe01;Schwabe;Christoph;Aktive Gruppenmusiktherapie für erwachsene Patienten;1983;Gruppentherapie, Erwachsene;Der Wand erläutert die Bedeutung der „aktiven Musiktherapie“ innerhalb der Psychotherapie und beschreibt deren Anwendungsmöglichkeiten in der medizinischen Praxis bei der Behandlung von Neurosen. Psychomatrosen im Rahmen der Psychatrie und speziell der Kurorttherapie, Aufbau und Gliederung gewährleisten Ärzten und Therapeuten, die diesen Zweig der Musiktherapie in ihr Behandlungskonzept aufnehmen wollen, eine klare Übersicht und vermitteln auch das notwendige Basiswissen für die Ausbildung.;3-437-10842-5;Deutsch
Schwabe01a;Schwabe;Christoph;Aktive Gruppenmusiktherapie für erwachsene Patienten;1983;Gruppentherapie, Erwachsene;Der Wand erläutert die Bedeutung der „aktiven Musiktherapie“ innerhalb der Psychotherapie und beschreibt deren Anwendungsmöglichkeiten in der medizinischen Praxis bei der Behandlung von Neurosen. Psychomatrosen im Rahmen der Psychatrie und speziell der Kurorttherapie, Aufbau und Gliederung gewährleisten Ärzten und Therapeuten, die diesen Zweig der Musiktherapie in ihr Behandlungskonzept aufnehmen wollen, eine klare Übersicht und vermitteln auch das notwendige Basiswissen für die Ausbildung.;3-437-10842-5;Deutsch
Schwabe02;Schwabe ;Christoph;Methodik der Musiktherapie und deren Theoretische Grundlagen. 3. Auflage;1986;Theoretische Grundlagen, Methodik;Die Notwendigkeit einer Methodik der Musiktherapie leitet sich einmal aus der zunehmenden Bedeutung ab, die der Musiktherapie innerhalb spezifischer Bereiche des Gesundheitswesens zukommt , Zum anderen ist es eine Tatsache, dass Musiktherapie bisher aufgrund ihrer unterschiedlichen Ausgangspositionen nicht einheitlich interpretiert wurde. Musiktherapie gilt als pragmatische Wissenschaftsdisziplin und ist in ihrem Wesen nach eine spezielle psychotherapeutische Behandlungsform. Gegenstand dieses Buches ist die Darstellung des Methode logischen Bezug Systems der Musiktherapie, also das Systems von Bedingungen und Regeln, die für die Prozess variablen der Musiktherapie maßgeblich sind. Die Spezifik der theoretischen Grundlagenbereiche der Methodik der Musiktherapie leitet sich aus ihrem Funktionszusammenhang ab.Sie umfasst die drei von einander sowohl unabhängigen als auch in Bezug auf die Methodik der Musiktherapie in hohem Maße abhängigen und in enger Wechsel Beziehung zu einander stehenden Gegenstands komplexe Krankheitslehre, Psychotherapie und Musiktherapie. Johann Ambrosius Barth;793-7415;Deutsch
Schwabe02a;Schwabe ;Christoph;Methodik der Musiktherapie und deren Theoretische Grundlagen. 3. Auflage;1986;Theoretische Grundlagen, Methodik;Die Notwendigkeit einer Methodik der Musiktherapie leitet sich einmal aus der zunehmenden Bedeutung ab, die der Musiktherapie innerhalb spezifischer Bereiche des Gesundheitswesens zukommt , Zum anderen ist es eine Tatsache, dass Musiktherapie bisher aufgrund ihrer unterschiedlichen Ausgangspositionen nicht einheitlich interpretiert wurde. Musiktherapie gilt als pragmatische Wissenschaftsdisziplin und ist in ihrem Wesen nach eine spezielle psychotherapeutische Behandlungsform. Gegenstand dieses Buches ist die Darstellung des Methode logischen Bezug Systems der Musiktherapie, also das Systems von Bedingungen und Regeln, die für die Prozess variablen der Musiktherapie maßgeblich sind. Die Spezifik der theoretischen Grundlagenbereiche der Methodik der Musiktherapie leitet sich aus ihrem Funktionszusammenhang ab.Sie umfasst die drei von einander sowohl unabhängigen als auch in Bezug auf die Methodik der Musiktherapie in hohem Maße abhängigen und in enger Wechsel Beziehung zu einander stehenden Gegenstands komplexe Krankheitslehre, Psychotherapie und Musiktherapie. Johann Ambrosius Barth;793-7415;Deutsch
Schwabe03;Schwabe;Christoph;Regulative Musiktherapie. Entwicklung, Stand und Perspektiven in der psychotherapeutischen Medizin;1996;Regulative Musiktheorie, psychotherapie;Hier wird eine geschlossene, umfassende, systematische Darstellung einer Musik therapeutisch – psychotherapeutischen Methode vorgelegt, die einzige Rezept tive Musik therapeutische Methode, die weite Verbreitung und wissenschaftliche Anerkennung fand. Dieses Musik therapeutische Verfahren wurde hinsichtlich der zu Grunde liegenden psychotherapeutischen Konzeption gleichzeitig auch konzeptionsbildend für die Psychotherapie.;3-334-61090-X;Deutsch
Schwabe04;Schwabe, Stein ;Christoph;Ressourcenorientierte Musiktherapie;2000;Musiktherapie Tagung, Ressourcen, Lebensgenuss, Freude;;3-933358-10-8;Deutsch
Schwertfeger;Schwertfeger;Bärbel;Der Therapieführer. Die wichtigsten Formen und Methoden;1989;Therapieformen und unterschiedliche Methodiken;Therapeutische Hilfe - aber wie? Wann ist eine Therapie angezeigt? Was ist Psychosomatik? Wie lange dauert und was kostet eine Therapie? Wann sollte man einen Psychologen und wann einen Psychotherapeuten aufsuchen? Was ist der Unterschied zwischen Neurose und Psychose? Präzise Antworten auf diese und viele weitere Fragen stellen Bärbel Schwertfeger und Klaus Koch in diesem Standartwegweiser durch das Therapieangebot. Sie stellen die wichtigsten Psychotherapien vor und geben eine Fülle praktischer Hinweise.;;Deutsch
Smeijsters;Smeijsters;Henk;Musiktherapie als Psychotherapie;1994;Musiktherapie und Psychotherapie;Dieses Werk gibt einen systematischen unverständlichen Überblick über die bestehenden Musik therapeutische Methoden und der schwerpunktmäßigen Fragestellung, wie sich diese Methoden in gängige psychotherapeutische Schulen eingliedern lassen. Die relevanten Konzepte der psychotherapeutischen Schulen wie Gestalttherapie, Psychoanalyse, klientenzentrierte Psychotherapie, Verhaltenstherapie und Kommunikationstheorie werden genauso wie die Musiktherapeutischer Methoden gut verständlich beschrieben und analysiert. Anhand von Musiktherapeutischer Konzepten oder von Praxisbeispielen wird aufgezeigt, inwieweit und warum eine spezielle Musiktherapeutischer Methode einer bestimmten psychotherapeutischen Schule zugeordnet werden kann.;3-437115278;Deutsch
Sonntag;Sonntag;Jan;Musiktherapie als Ästhetische Arbeit. Demenz und Atmosphäre.;2016;Demenz, Ästhetik;Das Gespür für Atmosphären ist eine wichtige Voraussetzung für die Begleitung von Demenzbetroffenen. Jan Sonntag, Musiktherapeut mit jahrelanger Erfahrung in der Arbeit mit Menschen mit Demenz, stellt in diesem Buch sein Konzept atmosphärebezogener Praxis vor. Fundiert durch umfangreiche qualitative Forschungsarbeit verknüpft er die philosophischen Konzepte von Atmosphäre mit der Erfahrungswelt Demenz. Auf dieser Grundlage entwickelt er Schritt für Schritt ein ästhetisches Verständnis von Therapie. So erhalten sowohl Professionelle in Therapie und Pflege als auch wissenschaftlich Tätige ein klares Bild davon, wie Atmosphären in der Begleitung von Menschen mit Demenz wahrgenommen und gestaltet werden können.;9-783863211530;Deutsch
Specht-Tomann;Specht-Tomann;Monika;Erzähl mir dein Leben. Zuhören und Reden in Beratung und Begleitung.;2003;Dement, Alter, Senioren, Gesprächsführung;Das Reden über das eigene Leben kann Wunder bewirken. Es kann eine entscheidende Weichenstellung für Menschen in Ausnahmesituationen wie schwerer Krankheit und nach traumatisierenden Ereignissen oder im Umgang mit dem Altern darstellen. Das Buch vermittelt Sozialarbeitern, Krankenpersonal und Altenpflegern, aber auch den Angehörigen von alten und kranken Menschen Impulse und Techniken, wie man sein Gegenüber zum Sprechen oder Schreiben über sich selbst bringt. Zahlreiche Fallbeispiele zeigen, welche heilende und heilsame Wirkung von lebensgeschichtlichem Nachdenken und Reden ausgeht. Quelle: Klappentext.;3-530-40143-9;Deutsch
Spintge 01;Spintge;Ralph;Musik im Gesundheitswesen. Bedeutung und Möglichkeiten musikmedizinischer und Musiktherapeutischer Ansätze;2007;Gesundheitswesen, Frühgeborenenintensivmedizin, ADHS, kindliche Migräne, Stressresistenz, emotionale Kompetenz, emotionale Intelligenz, Schlaganfall, Parkinson, Altsheimer, etc. ;Dieses Buch ist als Denkanstoß gedacht. Es fast  Beiträge von Autoren aus dem in – und Ausland zur derzeitigen und künftigen Bedeutung von Musik im Gesundheitswesen zusammen. Schlaglicht artig werden wissenschaftliche Grundlagen, Konzepte und Methoden sowie einige praktische Anwendungen vorgestellt. Seit den frühsten Anfängen der Heilkunde ist Musik ein integraler Bestandteil des Methodenrepertoires. Die Aufnahme Musik therapeutische Intervention in den DRG Katalog 2005 in Klammern multimodale Schmerztherapie) ist ein wichtiger Schritt auf dem    Weg zur regelhaften ein Beziehung musikmedizinischer beziehungsweise Musik therapeutische Verfahren in zeitgemäße Prävention, Therapie, Rehabilitation und ganzheitliche Gesundheits Fürsorge.;3-537-44049-9;Deutsch
Spintge 02;Spintge;Ralph;Musikmedizin. Physiologische Grundlagen und praktische Anwendungen;1992;Musikmedizin, physiologische Grundlagen, Anwendung;Der vorliegende Wand beschäftigt sich mit den therapeutischen nutzbaren Wirkungen des Hörens von Musik. Nebenhistorischen, anthropologisch chen, physiologischen und psychologischen Grundlagen wird speziell die angstlösende Wirkung von Musik vor und während chirurgische Eingriffe untersucht und dokumentiert. Aus den Anwendungsbeispielen leiten die Autoren anschließend Standards für den Einsatz von Musik in Klinik und Praxis ab.;3-437-11402-6;Deutsch
Stegemann;Stegemann;Thomas;Wiener Ringvorlesung Musiktherapie;2014;Theoretische Grundlagen, Praxisfelder;Dies ist die zweite, aktualisierte und erweiterte Auflage des 11. Bandes der „Wiener Beiträge zur Musiktherapie“. Er beinhaltet – in didaktisch aufbereiteter Form – 20 Vorlesungen, die seit dem Studienjahr 2011 unter der Bezeichnung „Ringvorlesung Musiktherapie“ an der mdw – Universität für Musik und darstellende Kunst Wien gehalten wurden. Sie vermitteln den Studierenden der Musiktherapie und anderen InteressentInnen einen breitgefächerten Überblick über die Grundlagen und Einsatzfelder der Musiktherapie, die von der Neonatologie bis zur Geriatrie reichen. Die insgesamt 20 AutorInnen aus Österreich, Deutschland, Norwegen und der Schweiz sind erfahrene MusiktherapeutInnen, engagierte Hochschullehrende sowie namhafte ForscherInnen. Wiederholungsfragen zu den Inhalten sowie das neue Layout sollen den Lehrbuchcharakter dieses Buches unterstreichen und Literaturtipps zu jedem Kapitel laden zum vertiefenden Weiterlesen ein. ; 978-3-7069-1012-5;Deutsch
Ster01;Ster;Axel;Zur Forschungsgeschichte von Musiktherapie und MusikMedizin;2006;MusikMedizin, Geschichte, Forschung;;;Deutsch
Ster01a;Ster;Axel;Zur Forschungsgeschichte von Musiktherapie und MusikMedizin;2006;MusikMedizin, Geschichte, Forschung;;;Deutsch
Streeck;Streeck;Ulrich;Psychotherapie komplexer Persönlichkeitsstörungen. Grundlagen der psychoanalytischen interaktionellen Methode;2007;Persönlichkeitsstörungen, Psychotherapie;In Lehr- und Therapiebüchern wird die Diagnostik und Therapie einzelner, häufig klar umrissener Krankheits- und Störungsbilder erläutert. In der klinischen Praxis sieht man dagegen überwiegend Patienten, die unter einer Kombination von verschiedenen Störungsbildern leiden. Besonders im stationären Bereich sind das häufig strukturelle Persönlichkeitsstörungen in Kombination mit weiteren Erkrankungen wie zum Beispiel Phobien oder Depressionen. Diese Patienten galten lange als unbehandelbar. Sie leiden unter einer verzerrten Wahrnehmung ihrer selbst und anderer Menschen oder der Unfähigkeit, Beziehungen einzugehen und aufrechtzuerhalten. Ihre Störungen manifestieren sich überwiegend in der sozialen Lebenswelt, in der Beziehung zu anderen Menschen. Hier setzt die psychoanalytisch- interaktionelle Methode an. Sie verlangt vom Therapeuten eine diagnostische und therapeutische Herangehensweise, die auf das Verhalten des Patienten in sozialen Situationen, im Umgang mit anderen und dem Therapeuten fokussiert. Im Vordergrund der Therapie steht deshalb das Bemühen um entwicklungsförderliche zwischenmenschliche Beziehungen.;3-608944818;Deutsch
Stern;Stern;Daniel N.;Die Lebenserfahrung des Säuglings;1996;Frühkindliche Entwicklung, Schwangerschaft;Wie erleben Säuglinge ihre Welt, und wie erleben sie sich selbst darin? Auch von Kindern, die noch nicht sprechen, können wir etwas darüber erfahren. Und wir sind nicht ausschließlich auf die Rekonstruktionen der frühen Kindheit angewiesen, die Erwachsene mit Hilfe eines Psychoanalytikers leisten. Die moderne Säuglingsforschung hat experimentelle Methoden entwickelt, die es erlauben, schon dem Säugling Fragen zu stellen, die er beantworten kann, - nicht verbal, aber durch Blicke und Bewegungen, und speziell durch Saugen. Angeleitet durch solche Auskünfte unternimmt Daniel Stern den Versuch, sich in die innere Welt des Säuglings hineinzudenken: ein Vorgehen, das in der Geschichte der Psychologie ohne Beispiel ist.;3-608-95687-5;Deutsch
Strobel;Strobel, Gernot Huppmann;Wolfgang;Musiktherapie. Grundlagen - Formen - Möglichkeiten;1987;Grundlagen, Methodik;"Auszug aus Geleitwort: ""Das vorliegende Werk der Mitarbeiter des Würzburger Instituts für Psychotherapie und medizinische Psychologie bietet eine umfassende Darstellung der Entstehung der Musiktherapie wie auch ihrer derzeitigen klinisch – therapeutischen Anwendungsmöglichkeiten. Die Untersuchung ist in ihrer Art noch konkurrenzlos, weist darüber hinaus insbesondere den Interaktion Nelle – kommunikativen Charakter der Musiktherapie auf, wie dieser sich nicht ein paar Sicherung zu hören von Musik allein darstellt, sondern in der Gemeinsamkeit auch das Musizierens.";3-8017-0138;Deutsch
Strotzka;Strotzka;Hans;Psychotherapie: Grundlagen, Verfahren, Indikatoren;1978;Psychotherapie, Verfahren, Grundlagen, Indikatoren;;;Englisch
Sutton;Sutton;Julie P.;Music Therapy and Trauma. International Perspectives;2002;Trauma, Traumatherapie;"Music communicates where words fail, and music therapy has been proven to connect with those who were thought to be unreachable, making it an ideal medium for working with those who have suffered psychological trauma. Music, Music Therapy and Trauma addresses the need for an exploration of current thinking on music and trauma. With chapters written by many of today's leading specialists in this area, music and trauma is approached from a wide range of perspectives, with contributions on the following:

* neurology of trauma and music;

* music and trauma in general;

* social and cultural perspectives on trauma;

* contextualising contemporary classical music and conflict;

* music and trauma in areas where there is war, community unrest and violence (Northern Ireland, Bosnia-Herzegovina, South Africa);

* music, trauma and early development.

Including specific examples and case studies, this book addresses the growing interest in the effects of trauma and how music therapy can provide a way through this complex process.";9-781843100270;Englisch
Tauscher;Tauscher;Hildegard;Die rhythmische musikalische Erziehung in der Heilpädagogik;1977;Heilpädagogik, Rhythmik;;3-7864-4609-1;Deutsch
Testkatalog01;Testkatalog01;Testkatalog01;Testkatalog2018/19;2018;Testkatalog;;;Deutsch
Testkatalog02;Testkatalog02;Testkatalog02;Testkatalog2020/21;2020;Testkatalog;;;Deutsch
Tewes;Tewes, Wildgrube;Uwe;Psychologie Lexikon. 2. Auflage.;1999;Lexika, Fachwörter, Psychologie, Grundlagen, Schlagwörter;;3-486-25229-1;Deutsch
